CMDLINE c:\users\eitelhuberch\appdata\local\programs\python\python37-32\python.exe configmode.py
MEM 0.941406 1569565666.3469
MEM 9.644531 1569565666.4476
MEM 12.148438 1569565666.5484
MEM 14.800781 1569565666.6491
MEM 17.238281 1569565666.7498
MEM 19.246094 1569565666.8505
MEM 20.800781 1569565666.9512
MEM 21.871094 1569565667.0520
MEM 39.320312 1569565667.1527
MEM 41.460938 1569565667.2534
MEM 45.718750 1569565667.3542
MEM 47.296875 1569565667.4549
MEM 48.410156 1569565667.5556
MEM 53.285156 1569565667.6564
MEM 54.035156 1569565667.7631
MEM 54.035156 1569565667.8638
MEM 54.035156 1569565667.9645
MEM 54.035156 1569565668.0653
MEM 54.035156 1569565668.1660
MEM 54.035156 1569565668.2668
MEM 54.035156 1569565668.3675
MEM 54.035156 1569565668.4682
MEM 54.035156 1569565668.5689
MEM 54.035156 1569565668.6696
MEM 54.046875 1569565668.7704
MEM 54.046875 1569565668.8721
MEM 54.046875 1569565668.9730
MEM 54.046875 1569565669.0737
MEM 54.046875 1569565669.1753
MEM 54.046875 1569565669.2770
MEM 54.046875 1569565669.3788
MEM 54.046875 1569565669.4795
MEM 54.046875 1569565669.5813
MEM 54.046875 1569565669.6829
MEM 54.046875 1569565669.7838
MEM 54.046875 1569565669.8846
MEM 54.046875 1569565669.9851
MEM 54.046875 1569565670.0860
MEM 54.046875 1569565670.1866
MEM 54.046875 1569565670.2875
MEM 54.046875 1569565670.3882
MEM 54.046875 1569565670.4889
MEM 54.046875 1569565670.5895
MEM 54.046875 1569565670.6903
MEM 54.046875 1569565670.7910
MEM 54.046875 1569565670.8919
MEM 54.046875 1569565670.9926
MEM 54.046875 1569565671.0933
MEM 54.046875 1569565671.1940
MEM 54.046875 1569565671.2948
MEM 54.046875 1569565671.3954
MEM 54.046875 1569565671.4971
MEM 54.046875 1569565671.5980
MEM 54.058594 1569565671.6986
MEM 54.058594 1569565671.7994
MEM 54.058594 1569565671.9000
MEM 54.058594 1569565672.0009
MEM 54.058594 1569565672.1016
MEM 54.058594 1569565672.2022
MEM 54.058594 1569565672.3029
MEM 54.058594 1569565672.4047
MEM 54.058594 1569565672.5054
MEM 54.058594 1569565672.6061
MEM 54.058594 1569565672.7070
MEM 54.058594 1569565672.8077
MEM 54.058594 1569565672.9083
MEM 54.058594 1569565673.0091
MEM 54.058594 1569565673.1099
MEM 54.058594 1569565673.2115
MEM 54.058594 1569565673.3122
MEM 54.058594 1569565673.4130
MEM 54.058594 1569565673.5147
MEM 54.058594 1569565673.6154
MEM 54.058594 1569565673.7161
MEM 54.058594 1569565673.8169
MEM 54.058594 1569565673.9177
MEM 54.058594 1569565674.0183
MEM 54.058594 1569565674.1191
MEM 54.058594 1569565674.2198
MEM 54.058594 1569565674.3205
MEM 54.058594 1569565674.4213
MEM 54.058594 1569565674.5220
MEM 54.058594 1569565674.6227
MEM 54.058594 1569565674.7234
MEM 54.058594 1569565674.8242
MEM 54.058594 1569565674.9249
MEM 54.058594 1569565675.0257
MEM 54.058594 1569565675.1265
MEM 54.058594 1569565675.2273
MEM 54.058594 1569565675.3278
MEM 54.058594 1569565675.4286
MEM 54.058594 1569565675.5303
MEM 54.058594 1569565675.6312
MEM 54.058594 1569565675.7327
MEM 54.058594 1569565675.8346
MEM 54.070312 1569565675.9352
MEM 54.070312 1569565676.0359
MEM 54.070312 1569565676.1367
MEM 54.070312 1569565676.2374
MEM 54.070312 1569565676.3381
MEM 54.070312 1569565676.4389
MEM 54.070312 1569565676.5396
MEM 54.070312 1569565676.6403
MEM 54.070312 1569565676.7410
MEM 54.070312 1569565676.8418
MEM 54.386719 1569565676.9435
MEM 56.839844 1569565677.0442
MEM 58.832031 1569565677.1450
MEM 59.566406 1569565677.2457
MEM 60.781250 1569565677.3464
MEM 61.218750 1569565677.4472
MEM 57.472656 1569565677.5479
MEM 58.457031 1569565677.6486
MEM 61.113281 1569565677.7493
MEM 59.406250 1569565677.8501
MEM 60.867188 1569565677.9508
MEM 62.351562 1569565678.0515
MEM 63.304688 1569565678.1523
MEM 63.664062 1569565678.2530
MEM 63.664062 1569565678.3537
MEM 63.664062 1569565678.4545
MEM 64.597656 1569565678.5552
MEM 64.597656 1569565678.6559
MEM 64.597656 1569565678.7567
MEM 64.597656 1569565678.8574
MEM 64.601562 1569565678.9581
MEM 64.601562 1569565679.0588
MEM 64.601562 1569565679.1597
MEM 64.601562 1569565679.2613
MEM 64.601562 1569565679.3622
MEM 64.601562 1569565679.4639
MEM 64.601562 1569565679.5646
